imdb_id,star,genre,runtime,user,critc,dir_popu,ac1_popu,ac2_popu,ac3_popu,total_box_office,n_of_posters,opening_box_office,year,budget_mixed
tt0062994,7.6,Biography,149,84,53,1.01139,2.436197,3.068233,1.072132,223306,11,49670,2001,14000000
tt0200669,5.9,Drama,130,67,54,1.002829,6.171428,1.716474,10.271945,3037579,10,90170,2001,15000000
tt0243133,7.6,Crime,116,447,200,1.511633,4.765446,4.658718,1.160895,21494849,28,664404,2001,20000000
tt0244173,6.8,Drama,115,20,25,1.000003,1.701763,1.001085,2.932949,149507,4,20878,2001,21000000
tt0195714,6.7,Horror,98,694,142,1.061317,3.277191,4.290322,2.266551,8693,28,10015822,2001,23000000
tt0237534,7.1,Action,137,509,192,1.108659,1.574903,4.304711,2.709061,10928863,23,100839,2001,29000000
tt0078788,8.5,Drama,147,"1,049",279,4.290197,4.015869,4.348793,5.095519,4615959,48,96992,2001,31500000
tt0110997,6.3,Adventure,111,70,47,2.662227,6.42216,12.198778,2.298996,6087,19,6087,2001,45000000
tt0272020,6.9,Action,131,286,110,1.00003,6.432414,2.326477,10.846382,20541668,25,7088213,2001,60000000
tt0219965,6.5,Comedy,123,263,132,1.70846,10.184027,4.765446,16.031375,71523271,18,5358,2001,75000000
tt0303353,7.4,Documentary,93,68,89,1.018784,1.001091,2.077566,1.000004,1699809,2,89087,2002,40000
tt0120467,5.3,Crime,87,120,20,1.12,1.752452,1.12,1,14904,2,9377,2002,120000
tt2415464,2.8,Horror,90,37,22,1.006378,1.000001,1.07056,1.000241,100477,4,100477,2002,135000
tt0285728,5.6,Biography,101,132,27,1.000011,6.635733,3.688772,1.00001,144008,3,16093,2002,250000
tt0219405,6.9,Comedy,84,39,29,1.000057,1.016258,1.169377,1.000027,19583,4,4240,2002,555000
tt0281680,6.7,Drama,105,48,13,1.12,1.214152,1.12,1,1023156,1,3376,2002,600000
tt1670269,5.2,Drama,94,7,2,1.002477,4.528277,2.073415,4.22573,301175,2,15968,2002,1750000
tt0285487,6.1,Drama,113,32,10,1.625296,2.568085,5.584706,1.779036,20710,1,13341,2002,1800000
tt0285441,7.5,Drama,172,108,82,1.000026,1.00112,1.12,1.000001,3786801,8,62810,2002,1934000
tt0312841,7.8,Drama,80,52,37,1.000582,1.000088,1.000001,1.001905,444931,5,29737,2002,2000000
tt0145937,6.7,Documentary,89,64,43,1.000115,1.000006,4.348793,2.069073,132026,9,17154,2002,3000000
tt0254686,7.5,Drama,131,244,157,2.575258,3.116754,2.937034,1.701763,32061244,24,29671,2002,3000000
tt0192657,6.7,Action,125,92,64,1.000005,1.001548,2.611278,1.017569,97152,7,29156,2002,5000000
tt0259446,6.6,Comedy,95,760,166,1.000063,3.268346,2.034492,2.232594,374890034,21,597362,2002,5000000
tt0219822,6.4,Comedy,96,77,85,2.443384,5.849937,3.670424,4.173534,705308,4,297340,2002,6000000
tt0266391,6.4,Drama,114,124,106,2.678239,6.543151,4.678626,3.099895,3176936,10,111037,2002,7000000
tt0091949,6.6,Comedy,98,98,41,1.011266,1.867419,2.298484,3.040871,235087,32,40888,2002,10000000
tt1714833,6.3,Drama,113,17,38,1.004536,1.0108,1.171099,7.835565,41320,13,4132,2002,11000000
tt0246677,7.1,Crime,96,141,88,1.399529,16.031375,4.699463,1.004742,774317,8,1983,2002,11000000
tt0206275,6.2,Drama,112,319,91,1.003416,7.054328,1.595279,2.080913,14781,15,27526443,2002,13000000
tt0097334,6.3,Action,117,29,24,1.510393,2.091106,1.134893,1.097999,10952,7,3016,2002,16000000
tt0210382,5.9,Crime,113,89,48,1.532998,7.704254,5.109926,2.244869,102622,8,45888,2002,16000000
tt0095953,8,Drama,133,360,103,1.70846,3.772248,12.950508,2.484942,453517,42,15222,2002,25000000
tt0299658,7.2,Comedy,113,"1,034",224,1.513431,3.404144,7.6493,4.694406,306770545,21,2074929,2002,30000000
tt0281373,5.1,Adventure,99,103,66,1.688469,3.623542,2.502822,1.000005,116898028,17,17814259,2002,32000000
tt0287717,5.1,Action,100,109,104,3.264354,4.791174,2.546796,8.008019,119721296,22,16711716,2002,38000000
tt0256415,6.2,Comedy,108,396,72,1.000747,6.783647,3.667015,2.712441,182365114,26,35648740,2002,38000000
tt0276816,6.2,Horror,105,157,90,1.307048,5.286499,1.000016,1.318501,589424,18,201431,2002,40000000
tt0298203,7.1,Drama,110,582,123,2.662227,1.036,3.720871,4.485531,245768384,26,51240555,2002,41000000
tt0278504,7.2,Drama,118,669,186,4.95888,12.282403,5.168394,4.080707,113622499,23,20366,2002,46000000
tt0258000,6.8,Crime,111,865,244,5.8893,5.292712,7.863044,6.549709,196308367,30,30056751,2002,48000000
tt0298130,7.1,Horror,115,"1,648",283,3.267113,7.088523,3.813254,5.20473,248218486,33,15015393,2002,48000000
tt0280590,5.8,Comedy,96,311,116,1.158223,10.445516,5.731955,3.867996,171269535,19,37162787,2002,50000000
tt0112384,7.6,Adventure,140,322,160,7.364804,8.21753,4.130589,12.198778,2219202,35,200645,2002,52000000
